0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
65	-1	66	-1	67	-1	68	69	-1	70	-1	71	-1	72	73	-1	74	-1	75	-1	76	77	-1	78	-1	79	-1	80	81	-1	82	-1	83	-1	84	85	-1	86	-1	87	-1	88	89	-1	90	-1	91	-1	92	93	-1	94	-1	95	-1	96	97	-1	98	-1	99	-1	100
102	102	102	103	103	103	103	104	104	104	105	105	105	105	106	106	106	107	107	107	107	108	108	108	109	109	109	109	110	110	110	111	111	111	111	112	112	112	113	113	113	113	114	114	114	115	115	115	115	116	116	116	117	117	117	117	118	118	118	119	119	119	119
64	100																																																													
